title	Content URLs:	Description:	Prerequisites:	Speaker Info:	Speaker Links:	comments	year	selected
Big Data Analysis using PySpark	I am planning for a Jupyter Notebook based presentation and the sample notebooks (which I have used for other PySpark talks) can be found here. The code to load StackExchange data as Spark Dataframes can be found here.	Apache Spark™ is a fast and general engine for large-scale data processing. It runs programs up to 100x faster than Hadoop MapReduce in memory, or 10x faster on disk and combines SQL, streaming, and complex analytics.PySpark is the Python binding for Apache Spark. In the talk, I would focus on what Spark is all about and the different ways it can be used with Python - scripts/shell/Jupyter. Then I would move on to how Spark (PySpark) can be leveraged for Big Data Analytics and how does it provide an improvement over other data processing engines like Apache Hadoop. For demo purpose, I would be using the publicly available StackOverflow Data to demonstrate how we can use PySpark to draw interesting insights from StackOverflow and its sister sites. For example, did you know that there is a high positive correlation between the reputation of a user and number of upvotes he has cast?	Attendees should be comfortable with Python.	I am a developer working with the Analytics team at Adobe Systems. I have been actively using Spark for the past 1 year and Python for past 4 years. I am helping as a teaching assistant for the 3-course series titled Data Science and Engineering with Spark XSeries, created in partnership with professors from University of California, Berkeley, University of California, Los Angeles and Databricks and offered on the edX platform. The course is primarily focused on using PySpark for big Data Analysis. I have previously given talks on Spark at Big Data Training Program, IIT Roorkee and at PyDelhi Meetup	https://shagunsodhani.in/	[]	2016	True
BigData Analytics and Visualization in Flask framework		"The main focus of this talk will be on integrating various trending technologies and create a beautiful web application. The following are the technologies used:-
 1. Flask(various packages)  - develop webapplication
 2. Hadoop-HDFS  - store data
 3. Apache Spark  - process data
 4. Apache Zeppelin - visualize your data"	You should have basic knowledge of the following:	Hey, I'm a python programmer working as a Software Engineer in a young start-up company based in Bangalore	"Linkedin https://in.linkedin.com/in/suresh-kumar-49982064
StackOverFlow http://stackoverflow.com/users/4815313/suresh2692
GitHub https://github.com/suresh2692"	"[{u'text': u'Could you please upload your slides asap? 
The slides don't have to be detailed just a overview will do for now.
We need you to upload the slides within the next 3 days to be able to consider it for selection.', u'by': u'Akshay Arora (~akshayaurora)', u'time': u'a month ago'}]"	2016	False
Binary Analysis and Exploitation using Python		Python now has a lot of interesting libraries that can be used together to do Binary Analysis and exploitation. We'll be using the great capstone engine alongside, pyelftools and pefile to analyse a binary programatically. Analyzing includes getting information in the headers, assembly in the code section, imports, dynamic libraries and lots of other stuff. The second part of the talk will be on Exploitation, where we'll try to exploit a buffer overflow vulnerability on a linux application (with ASLR, Stack Cookies and NX). We'll use pwntools and RopGadget . py to generate an exploit.I have written a blog post about how to use pyelftools and capstone engine to reverse a simple elf crackme. Check it out here: http://anee.me/reversing-an-elf/		I am a 4th year Computer Science student from IIIT Delhi. I am currently doing RSoC with Radare2 and an internship with Appknox (both works related to binary analysis). I participate in a lot of CTFs and I love to work with Binaries, trying to understand what they do and how to go about exploiting them. I also have experience in Network Security and anonymity and am currently working on a research project on Decoy Routing.  Besides that I really love opensource. I have contributed to a lot of organizations including Libav, KDE, Sugarlabs, Radare2. I have participated in GSoC before and have been winner of Google Code in 2012 and 2011. 		[]	2016	False
Building AWS Cloud Infrastructure using Python SDK		"In this talk, we will try to brief about Cloud computing and the core components of AWS, and how we can deploy and manage AWS Cloud infrastructure using Python
Brief Agenda:Introduction to Cloud ComputingQuick brief - AWS Components and ServicesManagement of AWS using PythonExample for S3 Recipes Example for EC2 Recipes"	Basic understanding of PythonBasic understanding of Cloud ComputingBasic understanding of AWS	Suman Debnath is presently working for Broadcom as a Principal Performance Engineer, with the Performance Benchmarking Group. He has 8 years of experience on Storage Performance Measurement wherein he has had been working on various platform and vendors (Hitachi, IBM and EMC).		"[{u'text': u'Hi Sankarshan:
Yes, I am sorry for the typo, I meant Beginner's level only, I will change the level, basically the talk would just need a basic understanding or awareness of AWS EcoSystem and its components. 
Regards,
Suman++', u'by': u'Suman Debnath (~suman-d)', u'time': u'a month ago'}, {u'text': u'The current set of topics being covered in this proposal would appeal to a beginner rather than an intermediate practitioner. Would you like to add more detail about complexities and challenges involved in building such an infrastructure or, is this a general overview?', u'by': u'sankarshan mukhopadhyay (~sankarshan)', u'time': u'a month ago'}]"	2016	False
Building Apps using Frappe Framework	Presentation for the talk:https://www.dropbox.com/s/53j8f4ruumvd4h4/frappe-framework.pdf?dl=0Other links:	"Frappe is an open source, full stack, opinionated web framework that includesThe talk will introduce the features of the Frappe Web FrameworkFrappe is the underlying framework for ERPNext (one of the top open source ERP systems). Open Source Enterprise systems are on the growth and there is a great opportunity for companies either looking to build in-house systems or building practices that help other businesses. ERP is a core business stack along with Email and the next frontier for service providers in open source. There are already a lot of businesses that are looking for developers familiar with Frappe. Frappe framework provides an architecture that allows you to build production-ready apps in very quickly.Unlike Python frameworks which are mostly server-side, Frappe has a rich AJAX based client library and also supports socketio. The biggest advantage of Frappe is the number of UI features that are available out of the box.Also I started writing Frappe in 2006 when the only other choice was Zope!Frappe Framework is ""Made in India"" licensed as MIT, used to built ERPNext, a popular open source ERP application.Frappe is listed on GitHub showcase of web application framework and is backed by a community of more than 3000 users."		Rushabh Mehta is the creator of the Frappe Framework and founder at Frappe Technologies, the publisher of ERPNext. ERPNext is one of the top 3 open source ERPs in the world and is used by more than 3000 companies in almost every country in the world.		[{u'text': u'Added presentation link', u'by': u'Rushabh Mehta (~rmehta)', u'time': u'a month ago'}]	2016	False
Building Interactive Search Interfaces (aka chat-bots) in Python using Django and TensorFlow	Link to the presentation: https://www.dropbox.com/s/1egi7ccwk1bu5de/chat-bots-pycon.pdf?dl=0	There has been growing interest on shedding boring and cumbersome “search and get thousand results” interface to move towards a “conversational” interface to ease the reception of deluge of information in various web and mobile applications. While a naive search bar that simplified information extraction and delivery of web pages was the rage in early 2000s, exponential increase in data and information on the Internet is making it natural for the search bar to evolve into a smarter and responsive interface. Not only can this search bar be more responsive in terms of guiding users in an iterative aka conversation based search, but it can also be assistive in fetching information that suits the interests of different users. Sooner or later, such conversational interface will replace the old-generation search bar.However, building such conversational interface has several technology challenges: a) the interface has to understand and extract intent from natural human inputs in terms of text or speech (this is partly done by the current generation search interfaces), b) it has to generate meaningful dialogue responses to engage users into a conversation, c) it has to understand and use context to assist users in fetching the most relevant information, and while doing so d) make the information results personalized to the user as she uses the interface over time.How do we solve these technology challenges? Is the ‘conversational search’ a hype or soon to be reality? How are recent advances in deep learning playing their role towards building such ‘chat bots’? How can we build a real interactive search interface using existing web (or Django) and machine learning frameworks. In this talk, I will take a deep dive to answer these questions and present the state of the art in building conversational agents during Django and Tensorflow (and Python, of course!). Tensorflow is a machine/deep learning package (using Python) open sourced by Google and has several advanced features to parse user text queries and personalize search results.Specifically, I will talk about building Django-based rest frameworks without and with websockets to enable interactive text search interfaces. Such interfaces are expected to become pervasive in coming years to replace web search bar, e-commerce search bars or any domain specific search engines such as education, healthcare etc. I will talk about implementation details of API using Django to enable such interface. The talk will also give an overview of the current state of deep learning techniques to build a chat bot, and provide details a few techniques such as LSTM or sequence to sequence learning in building a chat bot in reality.	"Django 1.9
TensorFlow 0.9
Python 3.4
Rest frameworks
Websockets
Django channels
Some familiarity wit Machine Learning or Deep Learning"	Vijay Gabale is co-founder and CTO of Infilect, an AI-powered Commerce Platform. Infilect has been building a fashion commerce platform to provide exceptional shopping experiences to the Internet consumers. The company has made several innovations in deep learning to process rich multi-media data (text, image, videos) to improve discovery, search and personalization experiences of online consumers.Prior to co-founding Infilect, he was a research scientist with IBM Research Labs. He graduated with a PhD from IIT Bombay, India in 2012. He has several top tier research publications and software patents to his name. He is also co-organizer of ‘Deep Learning Bangalore’ meetup. He has been actively working in deep learning for past several years and has give several talks in and outside India on the research and applications of deep learning in e-commerce.	"https://medium.com/@infilect
https://www.linkedin.com/in/vijaygabale
Recent talks:
Deep Learning, Fifth Elephant: https://hasgeek.tv/fifthelephant/deep-learning-conf-2016/1217-vijay-gabale-deep-dive-into-building-chat-bots-using-deep-learning
ACM IKDD 2016: Experience Driven Commerce Using Deep Learning http://ikdd.acm.org/Site/CoDS2016/schedule.html (Attendance 100+)
IEEE COMSNETS 2016: Matching Fashion Blogs to Fashion Commerce http://www.comsnets.org/archive/2016/waci_workshop.html (Attendance 80+)
IBM Research, I-CARE 2015: Contextual Product Discovery in The Wild https://university-relations.in/wps/portal/icare2013 (Attendance 60+)"	[]	2016	False
Building a Image Recognition Service with Deep learning and Python	"Home Page : http://bipulja.in
GitHub : https://github.com/bipul21"	"Images are inherent part of most of the apps out there. 
One should be able to identify what's in your images and use intelligence to build products out of it. Building such systems are hard both in terms of R & D effort and building a scalable system out of it.  With deep learning it has become far easier and efficient though.  
In this proposal i would like to talk about how to build a visual classification system with deep learning involving training and classification  engine on the cloud.
Best practices with deep learning and transfer learning to boost your accuracy. I use python, Nvidia based server on AWS.Below examples are snapshot that i used to build a image tagging engine to classifiy images based on different attributes like clothing type, sleeve type, collar type, pattern and color. Built by scrapping images from different e commerce portal like flipkart, myntra, amazon etc.

"	Python, Machine Learning, AWS	"ex-flipkart, pythoniast, hacker and a explorer. 
Now working purely with python with CredR in Mumbai. "	"Quora: https://www.quora.com/profile/Bipul-Jain 
Twitter : https://twitter.com/_bipul
Blog Post: http://bipulja.in/blog/visual-classification-engine-neural-network-5"	[]	2016	False
Building a Lie Detector: Multi-Modal Sentiment Analysis	"PyCon Singapore talk description: https://pycon.sg/schedule/presentation/103/Workshop Data and content is based on:
1. http://aclweb.org/anthology/P14-2072
2. http://web.eecs.umich.edu/~mihalcea/papers/perezrosas.icmi15.pdf"	"The workshop is to be divided in two parts:
1. Using LIWC and n-gram models for processing sentiments in sentences and short-texts. [By Mimansa]
2. Using image processing in OpenCV for processing sentiment of images posted. [By Sairam]The workshop would then aim to go over the plausible applications that it could have.The textual part of the talk aims to cover the following topics under NLP:I would then proceed to discuss about the classification methods like bag-of-words, random forests etc. and where and when they should be used (Whether in aspect extraction, if yes, where). In here, I would also explain the bias induced in dataset regarding the industry it is dealing with. I would also touch briefly on binary classification (positive, negative) or probability value vector in case of multi-label classification. I would go over the various areas that sentiment analysis can be used (product reviews, social media posts) and how that information about sentiment can be used. And then I would conclude by discussing about the projects that I have worked upon, that is, giving AI the benefit of recognising and empathising with emotions and how it would be helpful.I would then introduce the audience to the process of using word2vec and glove or building embeddings from scratch. The data and iJupyter notebooks along with dataset for the purpose would be available in form of a virtual image.I would then proceed on finding n-grams and building a classifier around various categories (as stated in paper) on real-life deception dataset.The image processing part would cover the following topics under vision:Introduction to OpenCV and how it is used to process images. Explain with some examples how the morphological transformation, image transformation, gradient descent works. Learn about the use of basic classification techniques deployed in image classification, for either binary or multi-labelling.Extraction of features, Facial action points and movements of eyebrows and coding them into feature vectors. This would cover Action Units to be recognised using masking technique.Combining both the features (achieved using text and image) to build a classifier that predicts whether the person is lying or speaking the truth.Explain in short about how the sound can be used as well (pitch and MFCC features) can be used. [The audio processing part won't be hands-on due to shortage of time.]"	"Linear Algebra, Basic matrix manipulation and vectors.
Basics of NLP (POS, NER).
Experience with nltk module."	I am a third year student of engineering majoring computer science. My past experience with Sentiment Analysis is of 3 years, with varied internships in Human Computer Interaction development for short texts, improved document sentiment tagger and presently interning in NTU (group Sentic Net) for personality detection and mental health disorder prediction purposes. I have previously given at talk at PyCon Singapore (https://pycon.sg/proposals/151/) on the same topic.Sairam is a third year student at IIT BHU, majoring in Electronic Engineering. His experience with Computer Vision has been of 3 years where he has been the lead of many workshops and tutorials conducted at his college, for acquainting freshmen with the subject. He has worked in facial and gesture recognition, and presently working as research assistant in NTU for object detection in maritime environment.	My LinkedIn profile can be viewed at: https://in.linkedin.com/in/mimansajaiswalSairam Tabibu's LinkedIn profile can be viewed at: https://in.linkedin.com/in/sairam-tabibu-331181100	[]	2016	True
Building a Recommendation Engine using Python	http://slides.com/kajalpuri/recommendation-engines#/	"Ever wondered ""How did you find an old school buddy on Facebook, just like that?"" , ""How Spotify suggests you songs you haven't listened but are matching with your listening habits?"", ""How E-Commerce websites recommends you products you might like?"". Well, the answer to all these question is one-Recommendation Engines. From millions of products existing on a website, it is very difficult for a user to land on a product of his need as well as his choice. But with the inception of Artificial Intelligence, a few algorithms were introduced to perform this difficult task and with the progress in technology, these algorithms were refined as well as customized as per the user requirements by various organizations. In simplest way, Recommendation Engine learns about your behavior with different techniques and recommends you products that seems suitable for you according to the algorithm.In this talk I'll cover the following topics with code in Python:Recommendation EnginesTypes of recommendation Engines.Various frameworks used for the same purpose (Their comparison with python).Step wise guidance to make an engine- Data Acquisition, Data Cleaning, Implementing various models.Problems faced during developments of recommendation systems.Various libraries of Python used for the same purpose.Metrics used to measure the accuracy of a recommendation engine.Functions that can help to improve your engine for better results as the data gets bigger."	The audience must have basic knowledge of programming (not necessarily with Python). They need no prior knowledge in Machine Learning but they must have interest in this field to be able to enjoy the talk.	Kajal Puri is currently pursuing final year of B.Tech in Computer Science at Guru Nanak Dev University, Amritsar. The academic projects undertaken by her include developing a library management system, an android app for fitness freaks and research on twitter's trending topic detection algorithm. Currently, as a part of her Summer Internship, she is developing a recommendation system for a startup named The Local Tribe. 	LinkedIn:- https://in.linkedin.com/in/kajalpuri	[{u'text': u'After learning about Machine Learning, I am all hyped up about every field which deals with data and recommendation engines sound great.', u'by': u'Rathod', u'time': u'a month ago'}, {u'text': u'Looks Interesting', u'by': u'Nikhil Dewang (~nikhil10)', u'time': u'a month ago'}, {u'text': u'Looks Interesting', u'by': u'Nikhil Dewang (~nikhil10)', u'time': u'a month ago'}, {u'text': u'Quite interesting ..', u'by': u'Abhishek Gehlot (~abhishek28)', u'time': u'a month ago'}, {u'text': u'Looks interesting', u'by': u'Sajal Jain (~sajal2)', u'time': u'a month ago'}, {u'text': u'Looks interesting', u'by': u'Sajal Jain (~sajal2)', u'time': u'a month ago'}, {u'text': u'Looks interesting', u'by': u'Sajal Jain (~sajal2)', u'time': u'a month ago'}, {u'text': u'I'd suggest that you assume that the audience is aware of the first two topics (in your proposal) and for the subsequent items, please provide a link to a dataset of reasonable size which you'd be working with and they can tinker around to reach similar results.', u'by': u'sankarshan mukhopadhyay (~sankarshan)', u'time': u'a month ago'}, {u'text': u'Thanks @abhay @tushar3 .', u'by': u'Kajal', u'time': u'a month ago'}, {u'text': u'Looking forward for this talk', u'by': u'abhay puri (~abhay)', u'time': u'a month ago'}, {u'text': u'Precise and informative! Piqued my curiosity further to read about Recommendation Engines. Waiting for your next write up!', u'by': u'tushar jadhav (~tushar3)', u'time': u'a month ago'}]	2016	False
Building a scalable NBA Sports Analytics Platform using Python Data Stack	https://github.com/rouseguy/NBA_SportVu	Devising strategies when the game is on based on in-game analytics is hard. Sports like basketball and soccer are free-flowing. Not long ago, most analysts used some form of aggregated metrics as the performance indicators and decisions were based on them. Examples include total points scored in the game, total rebounds in the game, etc.  But finer nuances of the game like which players were impacting the offense and defense in what ways were difficult to measure. From 2013, STATS SportVU started providing player tracking data for every single NBA game. This led to a explosion of data, leading to a greater emphasis on analytics amongst all the 30 teams. Teams were able to construct rosters using analytics. What are some of the challenges in designing such a system?Python's data stack packs a punch when it comes to designing such a system. This talk covers how some of the above challenges were overcome using the Python data stack.  In particular, the talk will touch upon Blaze, Dask, Numba, Bokeh and Luigi. This talk will also discuss some interesting insights from the game. 	Interest in analytics	Bargava Subramanian is a Data Scientist at Cisco Systems, India. He has 14 years of experience delivering business analytics solutions to Investment Banks, Entertainment Studios and High-Tech companies. He has given talks and conducted workshops on Data Science, Machine Learning, Deep Learning and Optimization in Python and R. He has a Masters in Statistics from University of Maryland, College Park, USA. He is an ardent NBA fan. You can tweet to him at @bargava.	Bargava has presented at a number of conferences. Some of the Python related ones are:Bargava has also presented at the local Python community meetups.	[]	2016	True
Building a secure IoT platform using Paho and Flask		MQTT and COAP are very common light weight protocols for IoT development.  One area that developers overlook during initial development is making it secure from day 1. This session will focus on a couple of approaches to make the interaction between the device and data collection server more secure and reliable using  HTTPS based key exchange and signed MQTT packets.  Paho is a light weight and easy to use library that handles most of the pub/sub, marshall/unmarshall, data transformation tasks.  Second area that we focus is getting maximum data from the device that will help you with diagnostics in early stage of development.   In addition to flask and paho, this session will touch upon sqlalchemy.  Whole platform design will rely on  micro-service architecture and hence the talk will introduce you to some components available in python, such as airflow.		"Jaimon Jose is  Co-Founder and CTO of PicoNets where he focuses on building next generation picoCDNs, a different approach to content caching and delivery.  Prior to starting PicoCDN, he worked with a startup focusing on air pollution and built a pollution data layer using various sensing devices. He ended his corporate life as Distinguished Engineer and Member of the CTO team in Novell, responsible for technical vision and strategy.  As an Identity and Security expert and a CISSP,  he used to focus on security aspects of emerging technologies including BYO{D|I} and Big Data.  He believes that a lot of innovation and solutions will evolve in the mobile computing domain and that will be a trigger for the accelerated cloud adoption.  His research areas included identity analytics using Big Data and predictive analytics that leverages disparate sources like physical, virtual and cloud. 
 
He represented Novell in standard organizations like IETF, OpenGroup and DMTF and is a co-author of DMTF cloud interoperability standard.  Jaimon is a regular speaker at various conferences  in India and abroad including InterOp, Silicon India, BrainShare and other industry-academia collaborations. "		[{u'text': u'Draft presentation for review', u'by': u'Jaimon Jose (~jjaimon)', u'time': u'24 days ago'}]	2016	True
Building an automatic keyphrase extraction system using NLTK in Python	https://github.com/P2Pvalue/teem-taghttps://docs.google.com/presentation/d/1VLjU2MQnB3GUw7p4z_Q6olFdYoW2q-LTsE8OUFZqrgI/edit?usp=sharing	"Ever wondered how Google search shows relevant results first even though the query you searched belonged to the results on Page 2 also (in a nutshell how the famous Google Page Rank works) or how your post get's automatically categorised in Quora or how Medium groups articles into clusters based on the article's context? Extraction of important topical words and phrases from documents, commonly known as terminology extraction or automatic keyphrase extraction is a hot topic in the research field. It comes under one of the crucial tasks in natural language processing for purposes of automatically extracting structured information from unstructured (text) datasets.
Keyphrases provide a concise description of a document’s content; they are useful for document search, clustering, categorization, and summarization; help in building a content based recommendation system as you can quantify semantic similarity with other documents. 
Since we are producing raw data now more than ever, clustering and contextualizing data becomes a more difficult task. With the help of Python and specifically NLTK it becomes a tad bit easier. My talk will provide information regarding methodology, keyphrase selection (unsupervised and supervised methods), algorithms which help us quantify weights relative to document corpus followed by a step wise guidance on building a decent keyphrase extraction system using NLTK in Python.   This project is a part of my GSoC project. "	A basic understanding of Python. (List Comprehensions, Classes, Functions, Loops) . You need no prior knowledge about NLTK or Natural Language processing as a whole, as I will be going into depth as I explain the project. An interest towards such research fields would help in enjoying the talk. 	"I am a passionate designer + hacker by nature currently working as Google Summer of Code Student @ Teem, Berkman Center for Internet and Society, Harvard University.
I am currently in my junior year pursuing CS from VIT, Chennai Campus.  Apart from that I am busy cultivating an open source culture at my university. "		"[{u'text': u'@prastut Its good enough! :)', u'by': u'KajalS', u'time': u'a month ago'}, {u'text': u'@Kajal, Updated the talk. The earlier content was way too generic.', u'by': u'Prastut Kumar (~prastut)', u'time': u'a month ago'}, {u'text': u'It seems more apt for a workshop to me! Btw, nice proposal, looking forward for it :)', u'by': u'Kajal', u'time': u'a month ago'}, {u'text': u'I had a confusion between a workshop and a talk, since the way I see it, my proposal lies between workshop and a talk. Still thanks for pointing this out. I will edit it.', u'by': u'Prastut Kumar (~prastut)', u'time': u'a month ago'}, {u'text': u'You have written in your first line ""This workshop"" but categorized it in the form of talk. Is it suppose to be a talk or a workshop?', u'by': u'Kajal', u'time': u'a month ago'}]"	2016	True
Building companion chatbot with Python	"PyCon Singapore talk description: https://pycon.sg/schedule/presentation/103/
Here is a link to my PyconSG presentation: https://docs.google.com/presentation/d/1EIqxToGjxk87ZDA7HlB-Dr7JAy7NLjQj2RP1zL3-POY/edit?usp=sharing
This one was a general overview of sentiment analysis, the methods and what one can do with it. Other content slides would be updated shortly"	"This talk would cover the intricacies of developing a chat bot with python and pyAIML.Though we are not yet on the brink of great development as shown in robotic movies, chatbots have been marching aheadThe talk aims to cover the following points:(1 )What is pyAIML. 
The XML dialect called AIML was developed by Richard Wallace and a worldwide free software community between 1995 and 2002. AIML formed the basis for what was initially a highly extended Eliza called ""A.L.I.C.E.."" (""Artificial Linguistic Internet Computer Entity""), which won the annual Loebner Prize Competition in Artificial Intelligence[3] three times, and was also the Chatterbox Challenge[4] Champion in 2004.(2) It would then go on to how to use standard and create a standard startup file, creating an AIMl file and generating random responses.(3) Then I would move on to integration of python, adding sessions and predicates in the XML file. I would then demo a very basic chatbot in python.(4) I would then introduce different packages which could be useful, nltk.chat, chatterbot.(5) I would then also show an example of using pywit (A python wrapper for wit.ai API) for building chatbots using python."	Linear Algebra, Basic matrix manipulation and vectors, NLTK, Word Embedding	I am a third year student of engineering majoring computer science. My past experience with python and NLP is of 3 years, with varied internships in Human Computer Interaction development for short texts, improved document sentiment tagger and presently interning in NTU (group Sentic Net) for personality detection and mental health disorder prediction purposes. I have previously given at talk at PyCon Singapore (https://pycon.sg/proposals/151/) on a similar topic.	My LinkedIn profile can be viewed at: https://in.linkedin.com/in/mimansajaiswal	[]	2016	True
Building scalable and Intelligent IoT Solutions with Python and Azure	https://github.com/Azure/azure-iot-sdks/blob/master/python/device/readme.mdSlides: https://1drv.ms/p/s!Ag2MMfDytlxwkfA3GWTbrf-COZ0Ydg	In this session we will show the power of Python running on IoT Devices and communicating with Cloud. We will talk about security considerations and challenges with Internet-of-things devices. Most importantly we will make this service more intelligent by adding Machine Learning aspect and Power BI for visualizations.We will setup a Raspberry Pi with Raspbian and use Python for sending data securely to the cloud. Then we add cloud intelligence to the same data. We will also be able to monitor and command the devices remotely, using the Python SDK for Azure IoT Hub. 		As a Technical Evangelist, Abhishek helps developers adapt to the latest technologies. He is a Devices and gadget enthusiast and loves exploring various boards. Previously, he was a consultant at Microsoft focused on Web stack, Azure, Cross-Platform Client Dev, and Game development. He is a regular speaker at Technology Conferences – TechEd, User Groups, OSI days, Droidcon, etc. Prior to Microsoft, Abhishek was working at Infragistics – a leading UI/UX company. He has worked extensively on HTML5 and was awarded the Microsoft MVP award for his contributions on Client Web Technologies, while working outside Microsoft.	"https://www.youtube.com/watch?v=48_u-r1dvaI
https://www.youtube.com/watch?v=PJQuTdIOaPU"	[]	2016	False
CentOS Community Container Pipeline	"https://github.com/bamachrn/cccp-service
https://github.com/bamachrn/cccp-index
https://github.com/bamachrn/centos-cccp-ansibleall of this would be moving under https://github.com/centos name space very soon "	"CentOS Community Container Pipeline: To give confidence and reliability to the container world, we have developed pipeline to build container for upstream projects. This pipeline is having very easy entry, with a simple pull request in yml file. 
Once the project is part of pipeline it has got the below benefits. Container will be built in the pipeline and pushed to public container image registry, registry.centos.org. If there is and change/update in the dependencies pipeline will build an updated image and notify userPipeline will automatically track the changes in source code repo and in git push it will build image and notify the user. All the containers built using this pipeline will be well tested, validated for stability, best container practices checks etc. There are many more. This would provide Python upstream developers an infra, to automatically containerize their projects without taking the trouble for building and testing the containers.I will present this pipeline along with demo of the system. This will give awareness, usage procedures and inside views of the system to take benefits of this.As outcome of this presentation:Audience will be able to understand the benefits of containerising an application.They will be able to enrol their projects in the pipeline to get their projects containerized and published to public registry.Get an overview of different kind of testing done on the containers and application."	Knowledge of containers, docker or such system.	I am currently working with Red Hat as container engineer. My career is mostly as DevOps engineer setting up different systems to enhance the quality & efficiency of Application Life cycle. I have been working with technologies like docker, mesos, kubernetes, Jenkins, Openshift to build systems for automated Continuous Integration, Delivery, Deployment of the application. In Red Hat I currently contribute to the centos project for building up automated container building with validation,testing. I have also designed and implemented large scale application cluster along with CI-CD for automated containerized application delivery system. I have worked with Micro services application architecture for enhancing system throughput and immutability. 	"https://github.com/bamachrn
http://bamacharankundu.in/
https://bamacharankundu.wordpress.com/"	"[{u'text': u'We are going through deployments this week, could not manage time.
Please find the presentation link which I created for presenting in a meetup.
https://docs.google.com/presentation/d/1Ng6PU8N3pr25ywVQcldCbr9x6YbYBzhi5oxA1CkHAfY/edit?usp=sharing', u'by': u'Bamacharan Kundu (~bamachrn)', u'time': u'21 days ago'}, {u'text': u'Sure I am adding outcome for the audience to description.', u'by': u'Bamacharan Kundu (~bamachrn)', u'time': u'a month ago'}, {u'text': u'This proposal is selected to be for an ""Advanced"" audience. Would it be possible to add the expected outcome for the audience? As in, at the end of this presentation, what are the things they would be able to achieve?', u'by': u'sankarshan mukhopadhyay (~sankarshan)', u'time': u'a month ago'}]"	2016	True
Clustering in PySpark	http://spark.apache.org/docs/latest/mllib-clustering.html	What with Big Data being the flavour of the decade and ML on distributed computing gaining prominence, this talk focusses on our experiments with the various clustering algorithms currently available in PySpark. We will discuss various challenges in data munging, scaling and optimization, feature encoding with mixed variables and the many Spark gotchas that we tripped on. We finally provide a code walkthrough of our soon to be open-sourced implementation of a clustering algorithm which we developed to bridge limitations of existing algorithms.	Understanding of basic clustering, basics of MapReduce and Spark.	Hariharan C is a data scientist at Mad Street Den. He builds artificially intelligent data products for e-commerce. Data hacker. ML wielder. Wannabe quiz-geek. Man-U fanboy.	Twitter : https://twitter.com/harc007	[]	2016	False
CollabFilter - A Python package for clustering items by similarity (Collaborative Filtering).	https://github.com/unnati-xyz/collaborative-filtering	"Ever wondered how Amazon recommends items quite accurately while you were busy looking at another item? Or about how Netflix recommends a movie to you that you have been wanting to watch for a long time now? This talk covers a kind of recommendation system known as Collaborative Filtering, which works by searching a large group of users and finding a smaller set with tastes similar to a particular user for whom the recommendation is made. It looks at the collection of items they have liked and combines them to create a ranked list of suggestions. Two flavours of this are item-based filtering and user-based filtering. The differences between these two can be expressed as-  
1. “Users who liked this item also liked...”- Item-based Collaborative Filtering                                                                                                                                    
2. “Users similar to you also liked...”- User-based Collaborative FilteringA comprehensive open-source package in Python for Collaborative Filtering does not exist.
This package, CollabFilter is our contribution to developing a recommendation system in Python. It uses a lot of state-of-art data capabilities provided by the Python Data Stack. The talk will also cover briefly on a couple of use-cases where this package was used conveniently and effectively."	Basic understanding of data science and analytics	The speaker, Vaibhavi Pai is a third year B.Tech Computer Science undergraduate student studying at The National Institute of Technology, Karnataka. She works in the field of machine learning and is keenly interested in data science and analytics. She likes working on Search Engine Optimisation and has also worked on developing games using Python in the past.	LinkedIn- https://www.linkedin.com/in/vaibhavi-pai-3b348810a?trk=hp-identity-nameFacebook- https://www.facebook.com/vaibhavi.pai.15	[]	2016	False
Comparison: AWS vs OpenStack, choose what is better for you		Get your mind clear with, in which terms Amazon Web Services (AWS) and OpenStack equals/differs with each other. This talk will help to those who want to explore AWS or OpenStack infra services.In the world of Infrastructure as a Service, AWS and OpenStack are on boom. Both Services have their own pros and cons in terms of types of services, features, support, user environment etc. They also have some services that are common in both. In this talk we will compare Amazon Web Services and OpenStack on various factors:	There is not strict prerequisite for audience but familiarity with any infrastructure service will help to understand the stuff.	Rohini Choudhary is Open Source enthusiast, Python developer, Outreachy Intern for OpenStack (2015), working as a DevOps intern at Flyrobe.Shaifali Agrawal, Open Source enthusiast, Python developer, Outreachy Intern for OpenStack, 2015 Google Summer of Code Intern, working as a Full Stack Developer at Zaya Learning Labs.		[]	2016	False
