title	0	1	2
159. Measuring Semantic Similarity between sentences in Python	"The talk will cover a set of approaches to measure semantic similarity between phrases. Concretely, consider the following sentences. ""Harry is running fast"" and ""Harry is Sprinting"". Traditional word-matching algorithms fail to capture the semantic overlap between such phrases. Such similarity scores form essential parts of systems for Information Retrieval (IR), Question Answering, Automatic Grading and several other Natural Language Processing applications. 
The talk will also briefly discuss a Propositional Logic Generation System (PLGS) that converts sentences in natural language to their propositional logic representations. 
For instance, the sentence ""Harry is running fast"" would be represented as:-
 - obj(Harry, o1)
 - run(o1, e1)
 - prop(e1, fast)
in propositional logic. Such propositions form the bedrock of powerful reasoning systems for question answering and Information Retrieval. "	The audience is expected to have a brief idea about the meaning and applications of natural language processing. Some familiarity with the nltk package in Python would be useful but not essential.	"""Measuring Semantic Similarity between sentences in Python"" should probably read ""Using Python to measure semantic similarity between sentences""."
16. Audio Fingerprinting and Shazam-ing	This talk focuses on the idea of how an audio classification app, like Shazam, works. 	The talk would consist of the following sections : 	Understanding the basics of music signals and histograms 
160. From start to finish a restless api in flask without the flask-restless framework.	Python and ubuntu.	At the time of writing this proposal I'm a 3rd year 6th semester B.Tech student pursuing computer science engineering.I love programming in python but again who doesn't?	Can you please update your profile to showcase your experience about flask?
161. Analyzing Stock Markets with Pandas and Matplotlib	Pandas is an amazing framework that makes data processing in Python highly efficient and fun. In this workshop aimed at Pandas and Matplotlib beginners, following will be discussed: 	Participants should be comfortable programming in Python.	Head of Technology at Tyroo Technologies, India's largest ad tech company. Worked previously at Inmobi, Akamai, SAP and Infosys. In 2007, started out a casual unconference style entrepreneurship focussed meetup group called Open Coffee Club in Bangalore which today has more than 15k members and is one of the most active and vibrant grassroots entrepreneurial community in Bangalore. 
162. Creating Lint Bears with coala	"coala is a simple COde AnaLysis Application. Its goal is to make
static code analysis easy while remaining completely modular and
therefore extendable and language independent."	The audience should have a little knowlegde of Regex, basic Python skills and Git knowledge to contribute to upstream. If the participant is contributing for the first time, he/she will be introduced to the git workflow and how to contribute. 	I'm a final year Computer Science undergrad and have been dabbling with Python since 2 years now. I'm also a student for coala (Python Software Organization) under Google Summer of Code'16 
163.  Demystifying the Django Rest Framework	This will be an intermediate tutorial on Django Rest Framework. For a first time user, DRF presents a ton of magic. Things work, but you end up not knowing or understanding what is happening behind the scenes. If you would want to tweak something, you wouldn't know where to start or what to look at.	I've had quite a few frustrating moments trying to figure out what method mapped to which action, and which ones to override when. The fact that DRF does not impose the REST architecture confused me to a good extent as well. Nested relationships was another beast which was hard to tame.	This tutorial will build an app - not a full fledged front end design but the endpoints that are required, and will showcase implementing endpoints using complete abstraction that DRF provides including Routers, ViewSets and builtin Serializers as the first step.
164. Web development with Django and MongoDB	1 - Introduction to Django	2 - Introduction to No-SQL databases	3 - Introduction to MongoDB
165. Testing native binaries using cffi and py.test	I've been working a native cross platform library to gather system information. The long term intention is to make bindings for it in various languages. The whole thing is written in C and it's somewhat hard to write unit tests for these kinds of libraries.	The talk will cover some basics of writing python bindings using CFFI and then writing unit tests using these. As a bonus, a small py.test plugin which can be used to measure the unit tests coverage of the C library will be presented. 	Basic knowledge of C (and related infrastructure). 
166. Finding Usage Patterns for Bots & Suspicious Users From Raw Logs Using Map Reduce	"Bot detection and usage patterns of specific users is a major cause of concern for a e-commerce website, and with scrapping affecting live-traffic to the tunes of affecting performance to almost 90%, it has become a prime focus area in the world of security.
Standard web application firewalls can help detect these Bots, but only basis of predefined rules/rates.
Using map/reduce and analyzing access logs, we try to analyze behavioral patterns of a user and address them as bots, or a suspicious user and throw alerts for the same."	"Logging Layer
1. Using Fluentd to capture logs either from file/or syslog or UDP/TCP 
2. Filtering these logs
3. Forwarding these logs to Kafka "	"Queue Layer
1. Parsing the logs in a queue using Kafka"
17. Getting Started with OpenStack Python SDK	"The OpenStack Python SDK is designed to improve developer experience by consolidating the various OpenStack python- client libraries and command line interface into a unified, well designed, and user-focused SDK (""Software Development Toolkit""). "	In this talk, we'd like to discuss what the Python SDK is, how it is designed, and how one can use OpenStack Python SDKs.	"With a consumer application requiring various individual pythons clients to install, each with different APIs and nuances, it becomes increasingly difficult to consume OpenStack clouds. The python-OpenStack SDK project proposes a new project with a single API namespace (""OpenStack"") that would provide users with a single point of entry and series of supporting functions/methods from which to build applications and tools."
18. Binary Analysis and Exploitation using Python	I am a 4th year Computer Science student from IIIT Delhi. I am currently doing RSoC with Radare2 and an internship with Appknox (both works related to binary analysis). I participate in a lot of CTFs and I love to work with Binaries, trying to understand what they do and how to go about exploiting them. I also have experience in Network Security and anonymity and am currently working on a research project on Decoy Routing.  Besides that I really love opensource. I have contributed to a lot of organizations including Libav, KDE, Sugarlabs, Radare2. I have participated in GSoC before and have been winner of Google Code in 2012 and 2011. 	No comments added so far.	
19. Comparison: AWS vs OpenStack, choose what is better for you	Get your mind clear with, in which terms Amazon Web Services (AWS) and OpenStack equals/differs with each other. This talk will help to those who want to explore AWS or OpenStack infra services.	In the world of Infrastructure as a Service, AWS and OpenStack are on boom. Both Services have their own pros and cons in terms of types of services, features, support, user environment etc. They also have some services that are common in both. In this talk we will compare Amazon Web Services and OpenStack on various factors:	There is not strict prerequisite for audience but familiarity with any infrastructure service will help to understand the stuff.
2. Don't write tests, generate them!	"Property-based testing (or Generative testing) is an interesting way of testing
your code by defining properties of your code, and testing that they hold with
random input."	"This talk aims to give an introduction to Property based testing in general,
and to Hypothesis in particular. The talk will:"	"The audience should be comfortable reading Object oriented Python code, that
uses decorators.  Experience in writing unit tests would go a long way to help
appreciate the talk."
20. Services and Python	No Prerequisites	Public Profile:	Open Source Contributions:
21. Clustering in PySpark	What with Big Data being the flavour of the decade and ML on distributed computing gaining prominence, this talk focusses on our experiments with the various clustering algorithms currently available in PySpark. We will discuss various challenges in data munging, scaling and optimization, feature encoding with mixed variables and the many Spark gotchas that we tripped on. We finally provide a code walkthrough of our soon to be open-sourced implementation of a clustering algorithm which we developed to bridge limitations of existing algorithms.	Understanding of basic clustering, basics of MapReduce and Spark.	Hariharan C is a data scientist at Mad Street Den. He builds artificially intelligent data products for e-commerce. Data hacker. ML wielder. Wannabe quiz-geek. Man-U fanboy.
22. Using Actors in Python with Pykka	"Dealing with concurrency in Scala, then Akka framework is the recent buzz of the town. Isn't it. But what if you are Pythonista? Huh?
So no Akka framework in Python. No Actors in Python. No futures in Python?
Ah, wrong if you think that."	We have Pykka to the rescue. Our angel. :P	You can have the same super cool, fast, efficient actors in Python too.!! 
23. PyProfound :  How to train the best machine learning model with zero lines of code ?	Building a machine learning model is easy but getting that elusive 1 percent increase in precision/recall when you are already in the high nineties is as frustrating as it is to watch Sachin bat through his 90s.	Adding to the complexity in finding the best machine learning model for your particular use-case, is the prerequisite of knowing any of the myriad data-science centric programming languages like Python, R or Julia and a knowledge of extracting the best features from the available dataset. Pre-processing the data to handle missing values, categorical features and columns with low information content becomes as important as the algorithm you have chosen.	PyProfound is an open-source desktop application built using electron.js and Python, that takes a dataset of your choice and returns a machine learning model which scores the best on cross-validation among all combinations possible on Scikit-Learn. 
24. Observations from a Python programmer learning Go lang	Go (often referred to as golang) is an open source programming language created at Google. Unlike Python which is an interpreted language, Go is compiled. A few projects have moved from using Python to Go lang lately. This talk summarizes observations made when a Python programmer learns Go.	Topics that I wish to cover:	This aim of this talk is only to share experiences of learning Go for people coming from Python background and not to claim which one is better. 
25. Creating chatbots with jatayu framework	A basic knowledge of python is required.	I received an email saying Reviewer01 has left a comment, but I can not see it here after login.	The framework is ready to use right now. However by the time the event is held I expect many more features to be added to the framework.
26. Asyncio and Service Oriented Architecture in Python	The talk will cover	No Prerequisites. However a little knowledge of asyncio library in python would go a long way.	Kashif Razzaqui, Director of Engineering at Kayako, Head of Engineering @ 1mg, Tech Lead @ Directi(Flock)
27. Attack of Pythons : Gotchas and Landmines in Python	"Python may be one of the simplest and most flexible programming languages out there, but it is still a programming language. It still has syntax, datatypes, and some occasional dark corners. Python ""warts"" are things for which people have criticised Python, typically aspects of the language or mechanisms of its implementation, because such aspects either expose certain surprising inconsistencies, are regarded as omissions, or cause irritation for parts of the community in some sense."	This talk will be about common pitfalls (termed warts/landmines) that people face using Python programming language.	"The only pre-requisite is that you must have some basic familiarity with Python programming language.
Although it'll be good that you have laptops with Python2 already setup, it's not required as such !"
28. Automation using Behavior Driven Development (BDD) Framework	"behavior-driven development (BDD) is a software development process about how software development should be managed by both business interests and technical insight. BDD is largely facilitated through using natural language constructs (e.g., English-like sentences) that can express the behavior and the expected outcomes.
Our talk mostly focuses upon:
1. Why BDD?
2. How it helps in Automation
3. Other similar frameworks
4. Benefits of BDD over other automation frameworks
5. Short Demo"	"Expected Outcome:
1. Get familiar with a useful and emerging framework
2. Get started with Automation if you haven't already, in a easy way"	Understanding of Python, some hands on experience in Automation, knowledge about Selenium.
29. Crypto 101 ( The basics of security )	This talk will literally cover the basics of cryptography . I will touch following topics ( in each topic i will explain what it is ?  , what are it's implementation ? and how secure/unsecure it is ) 	No Prerequisites as i will start from very basics !! Most of the talk will be high-level talk with some  background working of some topics . 	No complex maths is involved .  
3. Using Django Rest Framework in IoT!	Generally creating your own IoT product is considered to be a hassle especially when you want to handle your IoT device across multiple platform e.g Mobile devices etc. The most generic solution to such a problem is creating an API for the same and hence enabling device interaction via multiple interface. I would give some uses cases which I have practically implemented using DRF and [Arduino+Raspberry Pi]	"The following talk would stress on the following points : 
- IoT [Just a misnomer??]
- IoT & Python [Best Buddies!!]
- Handling Request/Response from your IoT device using API
- Analysing device feasibility
- Testing your API along with Hardware [Test Cases, Unit Testing (gist)] 
- Use Cases [ Primarily Educational, for social causes etc. ]"	That's All Folks!
30. Python for Artificial Intelligence	Python has been one of the easiest and most flexible language to use in the domain of Artificial Intelligence for years now. Since its inception , the community has witnessed a lot of emerging libraries and packages being released to make the working even easier. There is hardly any other language with such great support from a very healthy community of computer enthusiasts. 	This workshop is primarily showcasing the use of emerging python libraries in domains of various fields of artificial intelligence. The fields we would be covering would be Speech Recognition, Artificial Neural Networks, Deep Reinforcement Learning and finally Reinforcement Learning. 	We would be covering these ideas with understanding codes for a project in each domain:
31. Unit testing 101	This talk aims to introduce attendees to unit testing in Python using the built-in unittest module and also emphasize on how crucial unit testing is. mock is a Python testing module that allows you to replace parts (methods, classes etc) of your application with mock objects and make assertions about how they have been used.	This talk aims to primarily touch upon the following topics:	"What is NOT a unit test ?
Why do you need mocking ?
Monkey Patching
Where, why and what to patch
Mocking network calls and I/O"
32. Catching Python 3	There is lot of advancement in adoption of Python 3  lately. If you're still using Python 2.x in your project(s), this talk is for you.	The focus of the talk is on the following	Some experience with Python 2.x is preferred, although not mandatory.
33. Creating a recommendation engine based on NLP and contextual word embeddings	How can we create a recommendation engine that is based both on user browsing history and product reviews? Can I create recommendations purely based on the 'intent' and 'context' of the search? How do I use natural language processing techniques to create valid recommendations?	This talk will showcase how a recommendation engine can be built with user browser history and user-generated reviews using a state-of-the-art technique - word2vec. We will create something that not only matches the existing recommender systems deployed by websites, but goes one step ahead - incorporating context to generate valid and innovative recommendations. The beauty of such a framework is that not only does it support online learning, but is also sensitive to minor changes in user tone and behavior.	The trick/secret sauce is - How do we account for the 'context' and build it in our systems? The talk will answer these questions and showcase effectiveness of such a recommender system.
34. Building Companion Technology with Python	This talk would cover the intricacies of developing a chat bot with python and pyAIML.	Though we are not yet on the brink of great development as shown in robotic movies, chatbots have been marching ahead	The talk aims to cover the following points:
35. Python for BASH	Python's excellence in handling shell for UNIX administration. Will show the power of Python to simplify the way we execute shell codes.	Rookie 	I love Linux kernel !
36. Power of python excel - Data Logging for System Performance Analysis	To benchmark any software product, we often need to to performance analysis of the system along with the product . This tool monitors the cpu, memory and load average of the system and collects the data in excel sheet in regular intervals of time and plots the graph with that data if it is needed.	Basic Knowledge of Python	Arthy Loganathan works at RedHat as software QA Engineer
37. The Power of Python in an Enterprise-Class Healthcare Company	"A case-history talk about our use of Python at ZeOmega, a healthcare software
company based in Bangalore, over the last 14-years, and how Python is still
very vibrant and solving hard enterprise problems such as:"	No prerequisites as this is a case-history talk at a high-level about the various libraries and services available.	"While some of the software mentioned will be new to some number of attendees, I will carefully explain what
it is and how it is useful.  I will avoid buzzwords and acronyms."
38. Getting up and started with graphical user interface using Gtk+	Ever felt bored coding applications for same old command line. If so, get ready to fill your applications with all sort of widgets, colors and animations.	This talk is all about getting you ready to build graphical applications using GTK+: one amongst the finest multi-platform development kit for creating graphical user interfaces. The main focus of the talk will be on using PyGObject (not to be confused with PyGtk; the old stuff) with in between insights into graphical programming in general including topics such as X Windows Selections, Client side decorations (CSD), etc.	If the names above just did not make any sense to you, do not worry. The talk will include everything from the very basic. While this talk won't be able to teach you everything, it will throw light on the trending technologies and help you avoid the obsolete.
39. Talking to Machines : Optimizing Neural Networks with Theano	And while some of this often looks like 'black box' magic, we lose sight of the fact that the ideas are based on extensive research with rigorous mathematical foundation. The talk aims at introducing some of these concepts through Theano, a Python library, extensively used just not in the Deep Learning community, but the scientific community generally. 	In the discussion, we delve deeper into optimizing Deep Neural Network architectures with Theano, with focus on the VQA task mentioned above. This helps exploring how several state-of-the-art approaches like Convolution Neural Networks (CNNs) and Recurrent Neural Networks(RNNs) come together in an architecture to develop interesting algorithms.	Familiarity with the following would definitely help appreciate the talk :
4. Python Structures - The Best in Class for Data Analysis and Visualization of Big Data	Data Analysis and Visualization are two major areas of Data Science where a programming languages contribution in various aspects are critical. It could be the smartness of the data structure, its performance, arrangement and access variance, computation,  code ease and maintainability. It also means the design patterns that are possible for the different processing of data.	Python, Data Science/ML Concepts, Data Visualization methods	I am 16 years experience developer currently managing the engineering team of a major product company in India.
40. Ensemble Models	It is relatively easy to build a first-cut machine learning model. But what does it take to build a reasonably good model, or even a state-of-art model ?	Ensemble models. They are our best friends. They help us exploit the power of computing. Ensemble methods aren’t new. They form the basis for some extremely powerful machine learning algorithms like random forests and gradient boosting machines. The key point about ensemble is that consensus from diverse models are more reliable than a single source. This talk will cover how we can combine model outputs from various base models(logistic regression, support vector machines, decision trees, neural networks, etc) to create a stronger/better model output.	This talk will cover various strategies to create ensemble models.
41. Helix and Salt: Case study in high volume and distributed python applications	The tech talk is going to discuss Salt as a case study of an on going project at LinkedIn to evaluate Helix to manage clusters of Salt Masters to alleviate problems caused by a very lopsided salt master to salt minion ratio. The tech talk will use salt as a case study to demonstrate how high volume python applications can be written to be managed by Helix.	Apache Helix is a generic cluster management framework used for the automatic management of partitioned, replicated and distributed applications hosted on a cluster of nodes. Helix automates reassignment of resources in the face of node failure and recovery, cluster expansion, and reconfiguration. Apache Helix was originally developed at LinkedIn to manage some of our high volume applications	Saltstack's Salt is a remote execution and orchestration tool, counted in the company of other tools such as puppet, chef ansible etc. LinkedIn has one of the largest deployments of salt anywhere in the world.
42. An example-driven guide to writing effortless, fast tests with pytest for your Django project.	I’ll be going over the following topics 	Why you should write tests.	Sneaking tests into your code.
43. MyHDL - From Python to Silicon	"With the surge in no. of hobbyists using FPGA for their projects, it has become one thing to look out for.
MyHDL is python library enabling people to develop simple pythonic code which is lot easier to read and develop than standard Verilog and VHDL languages, that can also be used to program FPGAs.
The proposal is to get the audience acquainted with MyHDL, its ease of use and short learning curve, especially from beginners perspective, empowering them to get started implementing real projects in a very quick manner. My GSoC (and my fellow GSoCers) experience developing cores using MyHDL will be used extensively as an example case."	"OUTLINE:
 -- Intro : Who am I?
 -- Briefing of FPGAs and the standard languages(Verilog and VHDL). (5 min)
 -- MyHDL briefing. (5 min)
 -- Difference between general(sequential execution) vs FPGA(parallel execution) programming. (5 min)
 -- Few FPGA program examples highlighting MyHDL simplicity and ease to learn and use compared to the standard HDL languages. (10 min)
 -- Present an outline of development stages of a more complex FPGA project using MyHDL using my GSoC experience as an example. (10 min)
 -- Wrap up and questions if any. (5 min) "	Python 3.5, Awareness of FPGAs.
44. Deep Learning 101	"Most of the time we hear buzzwords like Recurrent Neural Nets, LSTM etc But don't know what is all that jargon and how or why these things works, This talk is intended to be a decent introduction to Deep Learning (No boring history lessons or the typical ""neurons in brain"" talk). 
The agenda will be to start by building a simple Deep Learning Neural Network with one hidden layer in core python(No frameworks) then move on to give an introduction on Convolutional Neural Nets(these are really good for object detection in images) and finally end by building a Recurrent Neural Net . 
The goal is to give you a soft launch into the Deep Learning, from there on you should be able to fly with your own imaginations."	Topics going to be covered are:	I am a Product Engineer at Profoundis. We built Vibe, A  B2B Data Intelligence solution for Sales and Marketing. I started off with Data Sciences during my Post Graduate Days and have been an ML enthusiast ever since.
45. Getting Started with Ansible	"Ansible is an IT automation tool that can be used to configure, deploy
and orchestrate many different Infrastructure based tasks. Ansible can
be used for system configuration, software deployment, application or
infrastructure orchestration, more importantly it is agent less and no
master/slave configuration required for it. It uses yml to write
playbook which is readable and easy to manageable, did I not mention
it's comes with batteries included."	This workshop aims to hands-on upon the following topics:	No comments added so far.
46. Unit Testing with Python	"Emphasize the need for unit testing Python code, and provide the
necessary tools and techniques to get started with unit testing."	"The talk is aimed at people who are familiar with Python basics, and
would like to improve their skills, by learning how to write professional
quality Python code."	"Fortunately Python's own standard library makes it easy to write unit
test cases, by providing the needed infrastructure. Through this
workshop we would like to make a strong case for unit testing, and
then show how to use the available frameworks for writing test
cases. We will also cover how dependencies can be isolated using
mocking and faking. We then move beyond writing test cases and cover
reporting, code coverage and CI integration."
47. Good Bye, Call Stack; Hello, Event Driven Architectures!!	"This talk will focus on building applications using Event Driven Architectures(EDA). The talk will begin with an introduction to EDAs and will end with a brief description on how Pipeline Engineering team at DreamWorks Animation uses it.
Some of the key takeaways would be:
    1) What are EDAs?
    2) How does it eliminate call stacks?
    3) Other advantages of incorporating EDA 
    4) Things to watch out for in EDAs
    5) Testing your system
    6) An example of how EDA based system will look like."	Basic knowledge of programming in any language and computer architecture.	Anvith Shivakumara is working as Pipeline Engineer at DreamWorks Dedicated Unit(DDU), Bengaluru. A IIIT Bangalore alumnus, his interests lies in every technology that would help him build systems that scale. At DDU, he is a Python developer with most of his efforts going into back-end development. He is also exploring ways to monitor applications using ELK stack.
48. Exploring PyUnit	"This talk provides an introduction for pyunit test framework  and  will discuss techniques for developing pyunit testcases  which serves as a tutorial for developers new to Python, and as  a cheatsheet for experienced developers.
Key Takeaways:
1. why PyUnit
2. How to create PyUnit Testcase
3. Develop Testsuite.
4. Generating reports in text/Html
5. Test Fixtures.
6.  PyUnit Assertions.
7. Developement of Testsuite for sample application"	Participants are expected to have basic working knowledge of Python.	I, Jaya K,  is working as a Senior R&D - QA Engineer in Dreamworks Unit, Technicolor and have 13 years of experience in QA and automation framework development. I worked on developing various test frameworks for GUI, RestAPI, client testing using Perl and Java.  I have used python for data analysis also.  In Dreamworks Unit, Technicolor, i had the opportunity to test python client. With knowledge of Junit, transitioning to the development of pyunit test is cinchy.
49. Talking to Machines : Optimizing Neural Networks with Theano	And while some of this often looks like 'black box' magic, we lose sight of the fact that the ideas are based on extensive research with rigorous mathematical foundation. The talk aims at introducing some of these concepts through Theano, a Python library, extensively used just not in the Deep Learning community, but the scientific community generally. 	In the discussion, we delve deeper into optimizing Deep Neural Network architectures with Theano, with focus on the VQA task mentioned above. This helps exploring how several state-of-the-art approaches like Convolution Neural Networks (CNNs) and Recurrent Neural Networks(RNNs) come together in an architecture to develop interesting algorithms.	While most of the topics are introduced in the talk from scratch, familiarity with the following would definitely help :
5. Linguistics 101 - Natural Language Processing in Python with NLTK	A look at how Natural Language Processing(NLP) can be used to identify meaningful information in a text. 	"We will begin by exploring the features of the NLTK library, and then we will try to develop a language aware data product using a a topic identification and document clustering algorithm from a web crawl of blog sites.
The clustering algorithm will use a simple Lesk K-Means clustering to start, and then will improve with an LDA analysis."	The NLTK library exists with a pre-existing set of definitions and a means of work flow. By studying this we will get a feel for the various features and functionality that NLTK has to offer. But since everyone has very diversified requirements, therefore during the later part of the session we will build a topic identification and document clustering algorithm from a web crawl of blog sites using NLTK in a codelab. 
50. Teach the lazy snake some functions!	This talk will be about using Python for functional programming. Functional programming is a programming paradigm wherein computation is treated as evaluation of mathematical functions and avoids changing-state and mutable data. A regular programmer can use a lot of constructs inspired by the functional paradigm and Python supports the same. The talk will be focussed on a practical programmer's view of adapting to functional programming rather than abstract functional technique. The audience will be able to clean up parts of their daily code using functional style.	Nothing as such though the audience with prior Python experience will be able to relate to the examples and think of ways to improve their code on a daily basis.	No comments added so far.
51. Python Byte Code Hacks	"The objective of the talk is to show people how interpreters in
general and the CPython interpreter in particular, is
implemented. While this is not really required for people to use the
Python, it depeens people's understanding of how modern interpreted
languages work."	Links to recordings of previous talks at conferences / meetups:	I have made contributions to the Linux Kernel, U-Boot, Qemu and the Linux Testing Project.
52. Network Analysis using iGraph Python Library	In this workshop, we will focus on iGraph python library to mine complex network datasets. It is an open source efficient tool to analyze graphs.	"Following points will be covered in the session:
1. Generate a graph using raw data,
2. A short overview of basic operations on the graph,
3. Understand Structural properties of the graph using iGraph inbuilt functions,
4. Community detection and its intricacies,
5. Visualization of the Graph"	"Technical Requirement:
1. Install Python
2. install iGraph Library"
53. Social Network Analysis using Networkx Library	In this workshop, we will focus on the python networkx library that is highly used to mine complex network datasets.  	"We will be covering these points in the session:
1. Store and Process real world networks using different formats
2. Analyze properties of real world networks
3. Analyze properties of the network at node level
4. Identify Meso-Scale structures in real world networks such as, Facebook Network, Citation Network, etc.
5. Epidemic Models to explain Information diffusion, opinion dynamics, and so on."	"Technical Requirement:
1. Install Python
2. install Networkx Library"
54. Python based REST APIs and their usage across hybrid mobile applications	Representational State Transfer (REST) is an architectural style defining a set of design constraints rather than a concrete system for building web applications. With the advent of REST architecture, network efficiency and scalability has experienced a considerable improvement helping developers to build cleaner APIs to access their web applications. This talk focusses on building RESTful web services and REST APIs in Python and Tornado enabling a coherent backend solution for variety of front-end Javascript frameworks based mobile applications. 	"During our presentation we will cover the following topics:
- Fundamentals that should be kept in mind to build Python based REST APIs.
- Elaborating why Python and Tornado are a good choice for building a RESTful web service and REST APIs. Also, a brief explanation of request handlers in Tornado responsible for making the APIs RESTful will also be included.
- Demonstration of platform-independent storage REST APIs which can be integrated in cross-platform and hybrid mobile applications. With the help of storage APIs, developers can save and retrieve the application data in CSV, JSON or any other format.
- Live demonstration of REST APIs for storing and retrieving images across applications. The images are sent to the server as an encoded base64 data and returned as a URL. If you require a service to host your logos and signatures, this image REST API can be of easy use.
- Creating pdfs using the pdf REST API. We will explain how pdfs can be returned embedded in an email from the HTML content sent by the client mobile application. This API is useful for developers in requirement of rendering their HTML data into pdf format. 
- Client side implementation of the various REST APIs using AJAX requests. This can be directly imported into any cross platform hybrid application to be able to gain access to various REST APIs."	Mini Bhati works as Product Engineer at Aspiring Investments Corp, a software development firm focussed on enterprise and finance spreadsheet platform for PC and Post-PC devices. She has gathered experience working on all stages of software engineering as a full stack developer. Her wealth of experiences include software design and development of numerous tablet and mobile applications, developing REST API services and incorporating it in more than 250 apps, software implementation for use cases spanning a range of industries.
55. Open Event Organizer Server using Flask	Open Event Organizer Server is an open source project by FOSSASIA, which helps event organizers to create events, make custom session forms, schedule sessions on a scheduling calendar system and also provides API services to use the information from the organizer server in websites or mobile applications. It helps to assign different users different roles such as organizer, speaker, co-organizer,etc. You can also customize email notifications received for various purposes. Unlike other event organizing web applications, it is open source, more customizable and can be used independently.	A little knowledge about Flask framework would help.	I am a web application developer and open source enthusiast. I am in 3rd year of B.Tech Information Technology course in IIIT Allahabad. I have been associated with open source organization FOSSASIA for about a year now and am a participant in Google Summer of Code 2016 under FOSSASIA. My preferred languages are python and javascript.
56. Learn to use cryptography library 	"cryptography is a package which provides cryptographic recipes and primitives to Python developers. Our goal is for it to be your ""cryptographic standard library"". It supports Python 2.6-2.7, Python 3.3+, and PyPy 2.6+."	cryptography includes both high level recipes, and low level interfaces to common cryptographic algorithms such as symmetric ciphers, message digests and key derivation functions. For example, to encrypt something with cryptography's high level symmetric encryption recipe .	"Why a new crypto library for Python?
If you’ve done cryptographic work in Python before, you’ve probably seen some other libraries in Python, such as M2Crypto, PyCrypto, or PyOpenSSL. In building cryptography we wanted to address a few issues we observed in the existing libraries:"
57. Scaling up Python with Microservices	This talk is aimed at discussing about how a regular web architecture could be broken into a Micro service based architecture that is able to support high concurrency and also provide a flexibility to build individual micro services into different technology stack as per need and requirements. This enables internal communication over RPC with minimal overhead and high concurrency.	"Past experience in Web architecture. 
Familiarity with standard network protocols.
Familiarity with event driven programming.
Experience with scalable and concurrent systems is a plus."	No comments added so far.
58. Building an automatic keyphrase extraction system using NLTK in Python	Ever wondered how Google search shows relevant results first even though the query you searched belonged to the results on Page 2 also (in a nutshell how the famous Google Page Rank works) or how your post get's automatically categorised in Quora or how Medium groups articles into clusters based on the article's context? 	"Extraction of important topical words and phrases from documents, commonly known as terminology extraction or automatic keyphrase extraction is a hot topic in the research field. It comes under one of the crucial tasks in natural language processing for purposes of automatically extracting structured information from unstructured (text) datasets.
Keyphrases provide a concise description of a document’s content; they are useful for document search, clustering, categorization, and summarization; help in building a content based recommendation system as you can quantify semantic similarity with other documents. 
Since we are producing raw data now more than ever, clustering and contextualizing data becomes a more difficult task. With the help of Python and specifically NLTK it becomes a tad bit easier. "	My talk will provide information regarding methodology, keyphrase selection (unsupervised and supervised methods), algorithms which help us quantify weights relative to document corpus followed by a step wise guidance on building a decent keyphrase extraction system using NLTK in Python.   
59. Quality data analysis using Python	The analysis of such data specific to product and process quality has so far been done using closed source applications (such as SAS, SPSS and Minitab), but the opening up of the Python based open source frameworks and libraries gives us an opportunity to analyze such data using Python and its various libraries. What's more, this opens up new avenues to use advanced machine learning and visualizations.	In this talk, I'll deal with some of the applications of the libraries, functions and approaches you find within Python's data science stack, and its application to the problem of analysing product and process quality data. Some aspects of the talk will be:	The target audience for this may or may not come in with some industrial experience in products, processes or quality management. They're however expected to know some Python and should be aware of some of the broad functionality within the Python data science stack.
6. Deploying your python backend with (almost) zero cost	Gone are the days when you had to provision and maintain servers full time and pay huge costs for it (even though it is idle 99% of the time). The world is going serverless where someone else takes care of running your code automatically whenever you want. 	And NO! This isn't the usual cloud servers where you pay for the full hour. You pay in multiples of 100ms intervals of when your code executes and don't even have to pay a dime if no execution occurs. 	I will be presenting a real world code with a hands-on demo of how you can easily deploy your python code - be it a simple script to process your log files or handle HTTP API requests to return JSON responses. I would also talk about where you can't use lambdas and also workaround for those use cases.
60. A partial differential equation solver using Numpy, Scipy and Matplotlib	This talk will detail how Python (and its libraries) can be used to write a compact solver for a partial differential equation (PDE) solver which describes the evolution of a physical system. Numpy's vector operations and Matplotlib's advanced plotting capabilities can be used to solve the equation and then vary physical parameters.	A PDE is a differential equation which contains functions of several variables. Thus the derivatives involved are partial derivatives. PDEs are a crucial part of physics as they accurately model the behaviour of real systems. Their solution occupies a large amount of the time consumed on large scale high performance computers for tasks such as computational fluid dynamics, computational mechanics and computational electromagnetics which are used for modelling systems as diverse in size scale and complexity as climate and environmental modelling, the Universe, cars, planes, trains, ships and optical devices.	In our school curricula, we learn analytic solutions to basic differential equations. However, most equations of interest cannot be solved analytically and must be solved numerically. Here is where the features of the language used to write the solver becomes important. Python has some amazing features which makes it suitable for use in such cases.
61. Financial Modelling and Simulation with Python: using Numpy, Scipy, Matplotlib and Pandas	"This Talk is about evolution of Python as a major technology used in Finance.
These days various Financial Models are been simulated using python scientific libraries with amazing capabilities of Analysis, Calculation with higher order mathematical equations  and statistical modelling complimented by Ploting libraries with 2D Graphs, Charts and Histograms."	Knowledge of Basics of Python and Libraries like Numpy, Scipy, Matplotlib and Pandas .	You can find me at:
